fin_const,female_ownership,established_year,manager_experience,employees,sector
No obstacle,100,2014,10,11,Other services
Minor obstacle,100,2015,8,5,Other services
No obstacle,0,2009,15,9,Other services
Moderate obstacle,0,2014,10,6,Other services
No obstacle,0,1998,26,10,Other services
Minor obstacle,0,2019,20,15,Other services
No obstacle,0,2000,7,30,Other services
No obstacle,100,2001,15,10,Retail services
No obstacle,15,2017,35,25,Retail services
No obstacle,20,2014,16,8,Retail services
Minor obstacle,0,2004,20,18,Other services
No obstacle,0,2004,10,10,Other services
No obstacle,0,2020,4,5,Other services
No obstacle,0,2001,24,9,Retail services
Major obstacle,100,2016,7,6,Retail services
No obstacle,30,2021,15,48,Other services
Minor obstacle,30,2013,17,5,Other services
Major obstacle,100,2017,7,10,Other services
No obstacle,0,2018,4,10,Other services
No obstacle,100,1991,30,10,Other services
Minor obstacle,20,1990,1,6,Retail services
No obstacle,0,1997,50,80,Other services
No obstacle,1,1973,30,7,Other services
Moderate obstacle,20,2016,20,37,Other services
Minor obstacle,0,2017,,5,Retail services
No obstacle,100,1989,30,16,Other services
Minor obstacle,30,1982,35,40,Other services
No obstacle,100,1990,34,6,Other services
No obstacle,0,2017,,13,Other services
No obstacle,0,2000,25,7,Other services
No obstacle,0,2005,10,15,Other services
No obstacle,100,2015,14,7,Other services
Minor obstacle,0,2012,12,8,Other services
Moderate obstacle,50,2018,5,13,Other services
Minor obstacle,50,2018,40,10,Retail services
No obstacle,40,2004,25,6,Retail services
No obstacle,80,2019,10,82,Other services
Major obstacle,50,2006,13,11,Other services
No obstacle,100,2021,2,21,Other services
Minor obstacle,0,2020,4,5,Other services
Moderate obstacle,50,2006,18,7,Retail services
No obstacle,0,2008,15,17,Other services
No obstacle,6,2018,17,6,Other services
No obstacle,25,2018,24,2000,Other services
No obstacle,50,1984,10,17,Other services
No obstacle,0,2012,7,6,Other services
Moderate obstacle,100,2018,,12,Other services
Major,50,2018,4,8,Other services
No obstacle,0,2010,14,11,Other services
Minor obstacle,30,2019,,10,Retail services
No obstacle,0,2020,,12,Retail services
No obstacle,100,2020,4,5,Retail services
Minor obstacle,0,2014,4,8,Retail services
No obstacle,30,2015,8,11,Manufacturing
No obstacle,100,2010,40,5,Retail services
No obstacle,0,2020,5,5,Retail services
No obstacle,0,1995,28,8,Retail services
No obstacle,0,2008,1,5,Retail services
Major obstacle,100,2020,5,5,Retail services
No obstacle,5,2019,22,7,Retail services
No obstacle,100,2011,12,5,Other services
No obstacle,100,2008,16,5,Retail services
No obstacle,0,2015,20,8,Retail services
No obstacle,0,2018,6,6,Retail services
No obstacle,10,2014,,7,Retail
Moderate obstacle,0,2012,25,10,Retail services
Minor obstacle,0,1990,,6,Retail services
No obstacle,0,2014,20,28,Manufacturing
No obstacle,40,2010,24,20,Manufacturing
No obstacle,40,2009,14,24,Manufacturing
No obstacle,30,1972,20,60,Manufacturing
No obstacle,0,2007,35,15,Manufacturing
Major obstacle,0,2013,18,22,Manufacturing
No obstacle,0,1984,,40,Manufacturing
No obstacle,0,1983,41,35,Manufacturing
No obstacle,70,1991,32,50,Manufacturing
No obstacle,0,1964,5,30,Manufacturing
No obstacle,60,2009,1,35,Manufacturing
No obstacle,0,1982,,22,Manufacturing
Minor obstacle,0,2018,20,74,Other services
Moderate obstacle,46,2015,30,32,Other services
No obstacle,70,2018,5,40,Other services
No obstacle,30,2011,12,40,Other services
Major obstacle,40,1994,10,74,Other services
Minor obstacle,50,2012,11,190,Other services
No obstacle,0,2006,,14,Retail services
No obstacle,30,2015,9,27,Manufacturing
No obstacle,20,1994,,45,Manufacturing
Minor obstacle,0,2015,3,28,Manufacturing
No obstacle,30,2011,33,20,Other services
No obstacle,60,2005,14,33,Other services
Moderate obstacle,0,2019,5,12,Other services
No obstacle,0,2015,15,72,Other services
No obstacle,20,1999,25,13,Manufacturing
Minor obstacle,0,2011,25,23,Other services
Major obstacle,75,2013,31,11,Other services
No obstacle,50,2014,35,39,Other services
No obstacle,100,1995,,27,Other services
No obstacle,0,1992,30,28,Other services
No obstacle,20,1998,26,28,Other services
No obstacle,0,2011,12,40,Other services
No obstacle,65,1996,35,40,Other services
No obstacle,20,2016,15,62,Retail services
